Table 1
,,,,,,,,,,,,,,
,Driver Name,Type,Polarion ID,Title,Reseller Name,Created Date,Approved Date,Start Date/In Progress,Delivery Date,Resolved Date,Resolution,Version Introduced,Was there any known issues after delivery?,Comments
,bkmcelmi,Inquiry,IM-111378,bkmcelmi - Build WBC result from Specimen Comment,Beckman,2022-10-07,2022-10-11,2022-10-21,2022-11-22,,2023-01-20 10:28,,,
,mgcrangi,Inquiry,IM-111389,DDR - mgcrangi - Various Driver Functionality Updates,MedGraphics,2022-10-07,2022-11-10,2022-11-29,2023-05-01,,2023-08-26 00:40,,,
,pvtastmi,Inquiry,IM-111456,DDR pvtastmi parse quality info from Q rec,,2022-10-12,2023-04-28,2023-05-18,2023-06-05,,2023-07-28 11:17,8.00.0014,,
,sisixlil,Known Issue,IM-111461,When receiving an order with a Specimen ID over two lines the T node is overwritten by second line,Sunquest,2022-10-12,,,2023-03-11,,2023-12-01 15:07,v8.00.0001,,
,dsbliasi,Inquiry,IM-111469,dsbliasi - Update driver to support By Fluid option for Out Of Service tests.,,2022-10-12,2022-10-17,2022-10-20,2022-10-20,,2023-06-05 10:52,,,
,dstsatmi,Inquiry,IM-111683,NDR Stago Satellite Max - bi-directional query ASTM,,2022-10-19,2023-03-13,2023-03-20,2023-04-26,,2023-08-31 07:14,NewDriver,,
,itchsepi,Inquiry,IM-111954,NDR ITC Hemochron - POCT unidirectional,,2022-10-27,2023-02-01,2023-02-24,2023-04-17,,2023-05-26 08:15,,,
,abdinfoi,Inquiry,IM-111955,abdinfoi - changes based on testing feedback,Abbott,2022-10-27,2022-10-28,2022-11-03,2022-11-15,,2023-03-20 14:48,,,
,bkmdxoni,Inquiry,IM-112047,bkmdxoni - Updates to M record handling based on testing,Beckman,2022-11-01,2022-11-04,2022-11-14,2022-11-22,,2023-05-31 00:51,,,
,ocdoasti,Inquiry,IM-112145,NDR Ortho Verseia OAS - ASTM unidirectional batch,Ortho,2022-11-02,2022-12-21,2023-01-19,2023-03-15,,,,,
,eikpledi,Inquiry,IM-112176,DDR eikpledi - add bi-directional functionality,,2022-11-03,2023-01-25,2023-01-30,2023-03-20,,,V8.000.001,,
,diighl7l,Inquiry,IM-112241,DDR for diighl7l,DI,2022-11-07,2023-02-01,2023-03-02,2023-03-24,,2023-12-01 14:52,8.00.0039	,,
,eschl7ml,Inquiry,IM-112282,eschl7ml - Correctly use original MSH segment when building aliquot results,Epic,2022-11-08,2022-11-11,2022-12-06,2023-01-17,,2023-02-09 16:37,,,
,eschl7ml,Known Issue,IM-112284,Error in build - <UNDEFINED>getseg+37^eschl7mlbuild *inst,Epic,2022-11-08,,,2022-12-14,,2023-02-09 16:45,v8.00.0040,,
,syscarwi,Known Issue,IM-112629,syscarwi - Driver splits messages based on instrument ID,Sysmex,2022-11-16,,,2023-01-25,,2023-03-07 16:15,v8.00.0001,,
,dadpfa1i,Inquiry,IM-112758,DDR for dadpfa1i,,2022-11-22,2022-12-29,2023-01-03,2023-02-03,,2023-02-23 03:25,8.00.0004,,
,tsmg7a1i,Inquiry,IM-112765,tsmg7a1i - Parse flag code/error code as error code instead of specimen error code.,,2022-11-23,2022-11-30,2023-01-05,2023-01-31,,2023-03-07 06:01,,,
,rchinfti,Inquiry,IM-112807,DDR rchinfti additional OBX pieces,Roche,2022-11-27,2023-04-20,2023-05-02,2023-05-23,,2023-08-11 15:04,v8.13.0007,,
,sysct90i,Inquiry,IM-112849,DDR Healius sysct90i - Status and Storage messages,Sysmex,2022-11-28,2023-02-23,2023-03-09,2023-07-13,,,8.00.0001,,
,pvtastdi,Inquiry,IM-112850,NDR Healius pvtastdi - dynamic mode driver,,2022-11-28,2023-02-23,2023-03-13,2023-05-09,,,v8.00.0014,,
,bilmlsfi,Inquiry,IM-112867,NDR MicroLog Secure - file I/O Bi-Directional,,2022-11-29,2023-02-02,2023-03-05,2023-03-31,,,,,
,bkmdxh8i,Known Issue,IM-112868,bkmdxh8i - solve checksum issue,Beckman,2022-11-29,,,2023-01-12,,2023-07-03 10:50,bkmdxh8i v8.00.0026,,
,eschl7ml,Known Issue,IM-112870,"Error in parse - <SUBSCRIPT>consolidatedests+28^eschl7mlparse ^imtemp(203,""P"",""rec"",""T"",""EXL1<syn>EXL2<syn>RXL10<syn>RXL11<syn>RXL12<syn>RXL13<syn>RXL5<syn>RXL6<syn>RXL7<syn>RXL8<syn>RXL9<syn>SHC",Epic,2022-11-29,,,2023-01-06,,2023-02-09 16:45,v8.00.0020,,
,ila4000i,Inquiry,IM-112874,DDR for ila4000i,,2022-11-29,2023-03-31,2023-04-06,2023-04-20,,2023-04-21 09:05,8.00.0010,,
,abdicqii,Inquiry,IM-112879,DDR abdicqii - parse control name for QC,Abbott,2022-11-29,2023-03-28,2023-04-03,2023-04-17,,,8.00.0006,,
,bdcktlai,Inquiry,IM-112945,DDR bdcktlai - patient name in O.20.1,Beckman,2022-12-02,2023-01-23,2023-01-25,2023-02-09,,2024-01-18 22:09,8.17.20 and higher,,
,abdaliqi,Inquiry,IM-112973,DDR for abdaliqi,Abbott,2022-12-05,2022-12-29,2023-01-05,2023-04-19,,2023-12-13 06:22,v8.00.0004,,
,brlcf96i,Inquiry,IM-113062,DDR brlcf96i - Patient Name in the WellNote field,Bio-Rad,2022-12-08,2022-12-22,2023-01-10,2023-02-23,,2024-02-16 12:19,v8.13.0002,,
,rchhl7ml,Known Issue,IM-113067,rchhl7ml - Test comments do not build when releasing held results.,Roche,2022-12-08,,,2023-03-07,,,8.00.0004,,
,bvivirti,Inquiry,IM-113415,DDR bvivirti - incubation time and bottle ID,bioMerieux,2022-12-16,2023-04-20,2023-04-25,2023-06-23,,2023-08-11 13:47,unknown,,
,eschl7ml,Known Issue,IM-113431,Error 20001: Send to server failed when too many connections are defined,Epic,2022-12-16,,,2023-01-06,,,v8.00.0002,,
,brlqccnq,Inquiry,IM-113476,Add support for date/time conversion based on time zone,Bio-Rad,2022-12-20,2023-01-18,2023-01-19,2023-02-14,,2023-02-09 16:45,v8.00.00012,,
,rchclicl,Known Issue,IM-113771,Duplicate Ordered Tests are Blocked Indefinitely for Multi-Connection LIS Interfaces,Roche,2023-01-09,,,2023-02-14,,2023-02-14 10:24,,,
,griertri,Inquiry,IM-113805,DDR griertri - Prod ID in O.3.2,Grifols,2023-01-10,2023-01-25,2023-02-23,2023-03-09,,2023-06-16 11:52,v8.00.0001,,
,scpx100i,Inquiry,IM-113882,NDR Scopio X100 & X100HT - HL7 unidirectional,Scopio,2023-01-12,2023-01-25,2023-04-03,2023-06-12,,2023-06-01 14:12,v8.00.0003,,
,holtp5ki,Inquiry,IM-113910,DDR holtp5ki - add SFTP,,2023-01-13,2023-09-26,2023-10-24,2023-11-30,,2024-01-08 16:00,,,
,syscarwi,Known Issue,IM-113923,syscarwi - fix issues with SAC segment parsing,Sysmex,2023-01-13,,,2023-02-02,,,8.00.0001,,
,syscarwi,Known Issue,IM-114053,syscarwi - Allow for any connection using driver to be selected in DMS config,Sysmex,2023-01-18,,,2023-01-25,,2023-03-07 15:58,v8.00.0001,,
,syscarwi,Inquiry,IM-114091,syscarwi - File result messages on physical DMS connection if no virtual DMS connection is present,Sysmex,2023-01-19,2023-01-31,2023-02-02,2023-02-02,,2023-03-07 15:58,v8.00.0001,,
,anjasmsi,Inquiry,IM-114092,NDR for Analytik Jena ASpectMS - unidirectional comma delimited file I/O,,2023-01-19,2023-02-02,2023-03-27,2023-05-18,,2023-03-06 20:00,,,
,horyz8ki,Inquiry,IM-114166,DDR horyz8ki - parse SID from alternate OBR location,,2023-01-20,2023-08-04,2023-08-04,2023-08-18,,,,,
,brlgeeni,Inquiry,IM-114207,DDR brlgeeni - add order worklist file builder,Bio-Rad,2023-01-23,2023-03-13,2023-04-03,2023-05-04,,,v8.00.0001,,
,diighl7l,Inquiry,IM-114241,DDR diighl7l - add UTF8 encoding option to non-file communications,DI,2023-01-24,2023-05-02,2023-05-22,2023-06-20,,,v8.00.0002,,
,bkmftrai,Known Issue,IM-114251,bkmftrai - parsing of attending vs. ordering broken,Beckman,2023-01-24,,,2023-05-26,,2023-12-01 14:55,v8.00.0038,,
,olya680i,Inquiry,IM-114318,Healius - AU480 Driver Needs to Distinguish Tests by Rack for Sites that use non-unique Specimen IDs,,2023-01-25,2023-02-14,2023-02-21,2023-05-02,,2023-07-21 12:51,v8.00.0018,,
,abimulti,Inquiry,IM-114340,NDR ABI Multiple instruments - File I/O custom,,2023-01-27,2023-04-18,2023-05-11,2023-08-22,,2023-05-03 09:14,,,
,tfconcri,Known Issue,IM-114366,tfconcri - encoding characters in the wrong field in MSH segment of ACK message,Thermo,2023-01-30,,,2023-02-14,,,,,
,mgcbrz8i,Inquiry,IM-114384,DDR mgcbrz8i - New headers/data added to PFTestData section,MedGraphics,2023-01-30,2023-08-04,2023-09-12,2023-09-22,,2023-04-21 09:57,v8.00.0001,,
,bdcktlai,Known Issue,IM-114396,KI for bdcktlai : lock issue,Beckman,2023-01-31,,,2023-02-07,,2023-10-05 16:45,v8.02.0011,,
,cldemini,Inquiry,IM-114406,DDR cldemini - Healius - line feeds between blocks,,2023-01-31,2023-02-21,2023-03-06,2023-03-21,,2023-12-08 10:49,v8.00.0004,,
,absscixi,Inquiry,IM-114428,Update driver to use temporary folder to load commandbar layout,,2023-01-31,2023-08-16,2023-09-11,2023-10-27,,2023-03-28 07:01,8.00.0001,,
,bdcclrsi,Known Issue,IM-114436,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module bdcclrsiModule,Beckman,2023-01-31,,,2023-04-17,,2023-10-27 07:00,IM v8.17.32,,
,bdcttlsi,Known Issue,IM-114437,Error 9 (Subscript out of range) on line 0 in procedure GridEX_Consumables_RowFormat of form bdcttlsiother,Beckman,2023-01-31,,,2023-04-18,,2023-05-19 09:31,IM v8.17.32,,
,diioosda,Known Issue,IM-114438,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module diioosdaModule,DI,2023-01-31,,,2023-04-06,,2023-05-17 15:04,IM v8.17.32,,
,diipooll,Known Issue,IM-114439,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module diipoollModule,DI,2023-01-31,,,2023-05-18,,2023-05-17 15:25,IM v8.17.32,,
,diiwkltl,Known Issue,IM-114440,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module diiwkltlModule,DI,2023-01-31,,,2023-04-06,,2023-07-05 16:11,IM v8.17.32,,
,escsyncl,Inquiry,IM-114441,escsyncl - Update driver to use temporary folder to load commandbar layout,Epic,2023-01-31,2023-08-16,2023-10-12,2023-10-27,,2023-05-17 15:25,IM v8.17.32,,
,ocdautoa,Known Issue,IM-114442,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module ocdautoaModule,Ortho,2023-01-31,,,2023-04-06,,2023-12-08 07:36,IM v8.17.32,,
,qgnhtmli,Known Issue,IM-114443,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module qgnhtmliModule,,2023-01-31,,,2023-04-24,,2023-05-17 15:30,IM v8.17.32,,
,rch8100a,Known Issue,IM-114444,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module rch8100aModule,Roche,2023-01-31,,,2023-04-06,,2023-04-24 13:53,IM v8.17.32,,
,rhpxmlri,Known Issue,IM-114445,Error 438 (Object doesn't support this property or method) on line 0 in procedure gLoadCommandBarResource of Module rhpxmlriModule,,2023-01-31,,,2023-04-13,,2023-05-17 15:24,IM v8.17.32,,
,sysudmdi,Inquiry,IM-114652,DDR for sysudmdi,Sysmex,2023-02-08,2023-02-14,2023-03-06,2023-04-11,,2023-07-05 17:12,IM v8.17.32,,
,ilalimsi,Known Issue,IM-114749,ilalimsi - Parse 'Order Reception' message as status option causes all results to be parsed as status,,2023-02-10,,,2023-03-14,,,8.00.0001,,
,abpastai,Inquiry,IM-115008,DDR abpastai - new ASTM P and O record layout,,2023-02-16,2023-03-06,2023-03-16,2023-04-11,,2023-04-19 03:23,v8.00.0015,,
,abdicqii,Known Issue,IM-115023,abdicqii - Status messages are queued with no Specimen info,Abbott,2023-02-17,,,2023-03-30,,2023-05-25 07:37,8.00.0025,,
,strbduki,Inquiry,IM-115144,DDR strbduki - action code from sinfo not hard coded,,2023-02-21,2023-05-11,2023-05-18,2023-06-16,,,v8.00.0001,,
,abi35xli,Inquiry,IM-115194,NDR for 3500 xl Genetic Analyzer - file I/O - proprietary,Abbott,2023-02-22,2023-07-18,2023-08-08,2023-11-29,,2024-01-10 06:43,v8.00.0001,,
,rotdelxi,Inquiry,IM-115217,"NDR Rotem Delta - XML, images included",,2023-02-23,2023-06-22,2023-06-22,2023-07-21,,,,,
,bkmc600i,Known Issue,IM-115298,<UNDEFINED>fluid+21^bkmc600iconfig,Beckman,2023-02-24,,,2023-05-31,,2024-01-11 08:44,N/A,,
,rchcb68i,Inquiry,IM-115358,DDR rchcb68i - UTC time conversion,Roche,2023-02-27,2023-04-20,2023-04-27,2023-05-19,,,v8.02.0001,,
,ocdhl7ml,Known Issue,IM-115532,Unable to select Debug option for Processing ID,Ortho,2023-03-01,,,2023-03-24,,2023-07-14 04:52,8.00.0015,,
,abdgtwma,Inquiry,IM-115662,Abbott GLP TWM - orderTestStatus messages for off track samples,Abbott,2023-03-03,2023-04-19,2023-04-19,2023-04-21,,2023-06-16 12:15,v8.00.0001,,
,eschl7ml,Known Issue,IM-115696,"Error in parse - <SUBSCRIPT>mapdest+12^eschl7mlparse ^imconfig(""config"",213,""zdestmap"","""")",Epic,2023-03-06,,,2023-03-28,,2023-08-31 08:52,,,
,hsoqqpsi,Inquiry,IM-116067,DDR hsoqqpsi - missing <eot> after L segment,,2023-03-10,2023-03-13,2023-03-16,2023-03-30,,2024-01-18 10:19,,,
,smscsc7i,Inquiry,IM-116336,DDR smscsc7i - error fix - unknown ctrl char being sent,,2023-03-17,2023-03-28,2023-03-30,2023-05-05,,2023-03-31 11:06,v8.00.0037,,
,tcahl7aa,Known Issue,IM-116487,Load balancing does not take into account Tests being marked out of service,,2023-03-22,,,2023-07-19,,2023-05-22 01:49,,,
,hdx300si,Inquiry,IM-116490,NDR Healius - Hidex 300 SL,,2023-03-22,2023-03-28,2023-04-05,2023-07-13,,2023-06-05 08:47,8.00.0004,,
,rchcproi,Inquiry,IM-116574,Separate Ordered Tests by Fluid,Roche,2023-03-24,2023-06-05,2023-06-13,2023-08-11,,,TBD,,
,dpcimmui,Known Issue,IM-116707,dpcimmui - in download mode the driver rebuilds and send last ADDON tests when there is reflex test created by rule,,2023-03-29,,,2023-04-26,,,New,,
,rchinfti,Known Issue,IM-116721,Error in build - <UNDEFINED>OBR+14^rchinftibuild *test,Roche,2023-03-29,,,2023-05-23,,2023-09-11 14:01,,,
,eschl7ml,Inquiry,IM-116764,DDR eschl7ml - add option for spec recv dt and build into SAC.7,Epic,2023-03-30,2023-04-10,2023-04-17,2023-09-07,,,older than v8.00.0021 ??,,
,quomqasi,Inquiry,IM-116791,NDR for MosaiQ 125,,2023-03-31,2023-07-18,2023-07-19,2023-08-25,,2023-08-11 15:05,v8.00.0008,,
,dasapexi,Inquiry,IM-116792,dasapexi - Able to parse results from current locations (Type Assay or Antigen) and in the sub Group of the current location (Type Position) for Assay and Antigen results,,2023-03-31,2023-04-05,2023-04-05,2023-04-18,,2023-09-22 16:27,v8.00.0044,,
,sysrouta,Inquiry,IM-116794,DDR sysrouta - support aliquot order,Sysmex,2023-03-31,2023-06-13,2023-06-14,2023-06-20,,2023-10-27 07:37,,,
,ilalimsi,Inquiry,IM-116934,DDR for ilalimsi,,2023-04-04,2023-04-07,2023-04-20,2023-05-09,,2024-02-08 04:12,,,
,abdalmpi,Inquiry,IM-117005,NDR Abbott Alinity mp - bi directional aliquotter,Abbott,2023-04-05,2023-05-25,2023-05-26,2023-06-30,,,v8_00_0004_dev04,,
,rchc311i,Inquiry,IM-117014,DDR rchc311i - error code handling,Roche,2023-04-05,2023-04-20,2023-05-09,2023-05-30,,2023-08-04 07:46,v8.00.0015,,
,tcahl7aa,Inquiry,IM-117140,tcahl7aa - Improvements for Diasorin,,2023-04-12,2023-04-25,2023-05-02,2023-05-18,,2023-12-13 11:12,,,
,jopwaspi,Inquiry,IM-117370,DDR jopwaspi - observation date/time R.13 or R.12,,2023-04-18,2023-09-12,2023-09-26,2023-09-28,,2023-09-07 07:16,v.8.00.0007,,
,minhmjki,Inquiry,IM-117493,NDR HM-Jackarc - unidirectional proprietary comma delimited,,2023-04-19,2023-06-22,2023-06-30,2023-07-27,,,,,
,yhlifh7i,Inquiry,IM-117494,NDR YHLO iFlash - HL7 bidirectional with query,,2023-04-19,2023-06-22,2023-07-04,2023-07-28,,2023-10-31 02:32,8.00.0006,,
,ocdavaei,Inquiry,IM-117533,Add IM v9.0 compatibility to Ortho AutoVue Innova/Ultra (ASTM Enhanced),Ortho,2023-04-19,2023-04-19,2023-07-11,2023-07-28,,2023-11-20 04:44,8.00.0002,,
,inpdmsaa,Inquiry,IM-117603,DDR inpdmsaa - update cancel message to use patient info from request,Abbott,2023-04-20,2023-05-25,2023-05-25,2023-06-06,,2023-11-04 00:42,,,
,diighl7l,Inquiry,IM-117655,DDR Internal Only - diighl7l will not error on the GT1 segment,DI,2023-04-21,2023-05-11,2023-06-14,2023-07-24,,2023-07-28 11:53,,,
,dsbliasi,Inquiry,IM-117686,DDR dsbliasi - instrument ID,,2023-04-21,2023-06-27,2023-07-04,2023-07-21,,2023-12-04 11:07,v8.13.0013,,
,abdicqii,Inquiry,IM-117748,DDR abdicqii - check for orders every second during timeout,Abbott,2023-04-24,2023-04-28,2023-05-31,2023-06-23,,2023-12-01 16:36,v8.00.0040,,
,phrucasi,Inquiry,IM-117770,DDR phrucasi - add full specimen action code functionality,,2023-04-24,2023-04-28,2023-05-02,2023-05-30,,2023-08-04 06:28,8.00.0014,,
,inpdmsii,Known Issue,IM-117825,Driver will not release held results if the configured timeout contains leading spaces.,Abbott,2023-04-25,,,2023-07-12,,,v8.00.0007,,
,viclotui,Inquiry,IM-117862,DDR viclotui - query option and dynamic order files,,2023-04-27,2023-05-25,2023-06-09,2023-07-28,,,8.00.0010,,
,mgcrangi,Inquiry,IM-117875,mgcrangi - Additional requested functionality,MedGraphics,2023-04-27,2023-05-02,2023-06-07,2023-06-29,,,v8.00.0003,,
,rchlt48i,Inquiry,IM-117891,DDR rchlt48i - add SFTP,Roche,2023-04-28,2023-05-11,2023-08-17,2023-12-07,,,8.00.0001_dev29,,
,saka120i,Inquiry,IM-118145,DDR saka120i - send stat msg w/out order match,,2023-05-08,2023-06-27,2023-07-11,2023-07-24,,2023-08-26 00:40,,,
,hbophl7l,Inquiry,IM-118150,DDR for hbophl7l - Add option for Result Value TX/ST,,2023-05-08,2023-07-18,2023-08-21,2023-08-24,,,,,
,syscarwi,Known Issue,IM-118156,Incomplete message is sent when all tests are unmapped and removed,Sysmex,2023-05-08,,,2023-05-22,,2023-09-11 04:17,v8.00.00.001,,
,eschl7ml,Known Issue,IM-118162,The grouping of tests by common destinations is no longer working all the time,Epic,2023-05-08,,,2023-05-19,,,v8.00.0012,,
,rchcb68i,Inquiry,IM-118295,DDR rchcb68i - rack and postion parsed from query,Roche,2023-05-12,2023-08-04,2023-08-08,2023-08-24,,2023-07-05 12:44,v8.00.0001,,
,brlqccnq,Known Issue,IM-118299,brlqccnq causes IM to crash if QC Date/Time field is added to SM Workspace,Bio-Rad,2023-05-12,,,2023-06-27,,2023-07-31 13:52,v8.00.0044,,
,sysct90i,Inquiry,IM-118312,sysct90i - Additional changes for Healius,Sysmex,2023-05-12,2023-07-06,2023-07-20,2023-09-01,,2023-06-29 15:37,,,
,nhssfitl,Inquiry,IM-118315,Update BCSS FIT Kit nhssfitl driver for compatibility with IM v9.00,,2023-05-12,2023-05-16,2023-06-27,2023-06-29,,,v8.00.0015,,
,sdbf2ivi,Inquiry,IM-118358,NDR Biosensor F200/ F2400 - in-vitro uni-directional,,2023-05-16,2023-06-22,2023-09-14,2023-09-29,,2023-06-28 11:41,v8.07.0010,,
,bkmdxoni,Inquiry,IM-118381,bkmdxoni - Parse Drawer and Rack Position values,Beckman,2023-05-16,2023-05-23,2023-05-23,2023-05-23,,,,,
,sisixlil,Inquiry,IM-118412,DDR sisixlil - Inst ID not Connection Name to Sunquest,Sunquest,2023-05-17,2023-05-18,2023-05-18,2023-05-31,,2023-06-29 16:02,,,
,diihl7ml,Inquiry,IM-118467,Support Processing Multiple Patient Diagnoses in the Configurable HL7 LIS Driver,DI,2023-05-18,2023-05-25,2023-05-30,2023-06-26,,,n/a,,
,iriq200i,Inquiry,IM-118476,DDR iriq200i - parse QC test strip lot number,,2023-05-18,2023-05-25,2023-07-12,2023-07-13,,2023-05-31 00:51,,,
,brlqccnq,Known Issue,IM-118613,brlqccnq Error in parse - <NOLINE>qconcall+37^brlqccnqbuild,Bio-Rad,2023-05-22,,,2023-06-27,,2023-12-01 15:58,v8.13.0008,,
,pvtastmi,Known Issue,IM-118654,PVT ASTM Driver Doesn't Update Orders DB on Result for Status Messages if the Ordered Fluid is not null,,2023-05-23,,,2023-06-23,,2024-01-05 17:23,,,
,brlqccnq,Known Issue,IM-119352,brlqccnq - closing parent windows before child windows,Bio-Rad,2023-06-05,,,2023-09-08,,2023-07-28 10:06,8.00.0018,,
,bkmdxi9i,Inquiry,IM-119373,NDR Beckman DXI 9000 - bidirectional ASTM w/ query & M segments,Beckman,2023-06-06,2023-09-20,2023-10-04,2023-10-27,,2023-06-27 11:47,v8.07.0010,,
,rchserci,Inquiry,IM-119383,NDR - Roche Serology Controller,Roche,2023-06-06,2023-03-10,2023-03-10,2023-04-14,,2023-07-28 11:18,v8.00.0013,,
,newastmi,Inquiry,IM-119915,"newastmi - Add lockout timer for dev version, and prevent dev version from starting on live systems",DI,2023-06-14,2023-06-22,2023-07-13,2023-07-27,,2023-09-22 09:49,v8.07.0010,,
,nifrem2i,Inquiry,IM-119941,DDR nifrem2i - add shared orders DB functionality,,2023-06-15,2023-07-18,2023-08-14,2023-08-18,,2023-12-21 07:11,N/A,,
,smsateli,Inquiry,IM-120407,DDR smsateli - null fluid type,,2023-06-22,2023-06-27,2023-07-11,2023-07-31,,2023-06-06 16:12,,,
,rchinfti,Inquiry,IM-120411,DDR rchinfti - sending app and others parsed from MSH,Roche,2023-06-22,2023-08-22,2023-08-24,2023-09-07,,,,,
,diiccdfl,Known Issue,IM-120463,diiccdfl - LLP enhancement,DI,2023-06-23,,,2023-07-27,,2023-10-17 14:19,v8.00.0020_dev09,,
,gnppanti,Inquiry,IM-120520,DDR gnppanti - worklist ID as a comment,Grifols,2023-06-23,2023-08-22,2023-08-24,2023-09-07,,2023-12-05 10:50,v8.00.0002,,
,orgalegi,Inquiry,IM-120591,DDR orgalegi - additional items for new spec,,2023-06-27,2023-08-04,2023-08-04,2023-08-29,,2023-10-19 06:04,8.13.0008,,
,diietldl,Inquiry,IM-120596,diietldl - update driver for v8.15.0004,DI,2023-06-27,2023-07-31,2023-07-31,2023-07-31,,,before v8.00.0004,,
,eschl7ml,Inquiry,IM-120653,DDR eschl7ml - Single vs Multi OBR per connection,Epic,2023-06-28,2023-07-24,2023-07-26,2023-08-31,,2024-01-08 13:06,v8.00.0008,,
,pvtastdi,Inquiry,IM-120918,pvtastdi - Additional updates based on testing for Healius,,2023-07-06,2023-08-16,2023-08-23,2023-09-01,,,v8.00.0001,,
,eimerlsi,Inquiry,IM-120997,DDR eimerlsi - Frame numbers,,2023-07-10,2023-08-22,2023-08-24,2023-09-08,,2023-07-31 14:16,,,
,scpx100i,Inquiry,IM-121008,DDR for scpx100i,Scopio,2023-07-10,2023-07-11,2023-07-13,2023-07-27,,2023-09-22 16:29,8.00.0045,,
,ocdavaei,Known Issue,IM-121024,Images files are left open after they are processed by the driver,Ortho,2023-07-10,,,2023-07-14,,,,,
,diicfgdl,Known Issue,IM-121058,diicfgdl - When the driver generate one result file per specimen and if SendQ > 1 then the driver will generate result for the last specimen of the queue only,DI,2023-07-12,,,2023-07-28,,,v8.00.0001,,
,bvimytci,Inquiry,IM-121064,DDR bvimytci - string replace double quotes,bioMerieux,2023-07-12,2023-07-18,2023-07-25,2023-09-08,,2024-01-08 15:55,v8.00.0001,,
,ydsu300i,Known Issue,IM-121068,ydsu300i - SID significant digits,,2023-07-12,,,2023-09-05,,2023-07-31 12:30,8.00.0009,,
,diihl7ml,Inquiry,IM-121153,diihl7ml - Update multiple diagnosis parsing functionality to prevent sending duplicate diagnosis data.,DI,2023-07-14,2023-07-26,2023-07-26,2023-07-27,,,v8.00.0014,,
,mgcrangi,Inquiry,IM-121230,mgcrangi - Add additional GXSummaryItem fields,MedGraphics,2023-07-17,2023-07-20,2023-07-20,2023-08-08,,2023-10-04 07:48,v8.00.0002,,
,rchpurei,Inquiry,IM-121250,DDR rchpurei - add new Data Alarm List entries to error mapping,Roche,2023-07-18,2023-07-18,2023-07-25,2023-08-09,,2023-10-20 10:58,8.00.0002,,
,abdalmpi,Inquiry,IM-121336,abdalmpi - Changes based on testing feedback,Abbott,2023-07-20,2023-07-26,2023-07-26,2023-08-01,,2024-01-05 17:25,,,
,syssp10i,Inquiry,IM-121513,DDR for syssp10i - Healius,Sysmex,2023-07-25,2023-10-16,2023-10-23,2023-11-07,,2023-08-26 00:40,,,
,brlqccnq,Inquiry,IM-121514,DDR brlqccnq - better handling of reagent lot and calibrator information to URT with SP9,Bio-Rad,2023-07-25,2023-10-30,2023-11-01,2023-11-17,,2023-09-11 13:35,,,
,mensedmi,Known Issue,IM-121558,mensedmi - error on load/unload of config,,2023-07-26,,,2023-11-17,,2023-12-13 07:27,,,
,abimulti,Inquiry,IM-121588,ABI Driver Needs Logic to Translate Outgoing Worklist Positions for the 3730 and Incoming Specimen ID Column,,2023-07-28,2023-08-02,2023-08-03,2023-08-22,,,8.00.0002,,
,syscarwi,Inquiry,IM-121640,DDR Caresphere - Add option and change rack/position for Sunquest,Sysmex,2023-07-31,2023-08-09,2023-08-11,2023-09-01,,,8.07.0011,,
,diicfgxi,Inquiry,IM-121661,DDR diicfgxi - configurable file names,DI,2023-08-01,2023-08-22,2023-08-29,2023-09-15,,2023-11-17 14:46,V8.00.0002,,
,abdalisi,Inquiry,IM-121884,DDR Abbott Alinity S needs TCC messages added for OOS tests on a GLP track,Abbott,2023-08-08,2023-08-09,2023-08-14,2023-09-01,,,,,
,iclspmxi,Inquiry,IM-121968,DDR ICL Spectramax - add <HT> handling and UTF-16LE encoding,,2023-08-10,2023-08-22,2023-09-05,2023-10-12,,2023-10-20 12:00,,,
,sysct90i,Inquiry,IM-121999,sysct90i - Additional changes for Healius pt.2,Sysmex,2023-08-11,2023-09-01,2023-09-01,2023-09-01,,,v8.15.0001,,
,eniclpri,Inquiry,IM-122139,NDR Enicor Clot Pro - proprietary csv file i/o,,2023-08-17,2023-10-30,2023-10-31,2023-11-17,,2024-01-17 08:10,,,
,sebphrsi,Inquiry,IM-122269,Add support for additional testcode/result combinations for TP results,SEBIA Phoresis,2023-08-22,2023-08-25,2023-09-06,2023-11-01,,2023-11-03 12:51,,,
,sysxnsai,Known Issue,IM-122281,"Error in parse - <SUBSCRIPT>getreptype+3^sysxnsaibuild ^imorders(956,""ord_info"","""") and Error in parse - <SUBSCRIPT>R+12^sysxnsaiparse ^imconfig(""config"",1763,""abnormaltest"","""")",Sysmex,2023-08-22,,,2023-12-30,,,,,
,tcahl7aa,Known Issue,IM-122390,Test priority takes over load balancing for individual connections when group is excluded from Route,,2023-08-24,,,2023-09-01,,,N/A,,
